11-14 23:16:51 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast::Rain:: (18.2051) 0
11-14 23:17:32 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (18.2735) 0 -> 0
11-14 23:20:31 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (18.573) 0 -> 0
11-14 23:23:31 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (19.1777) 0 -> 0
11-14 23:26:31 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (20.3756) 0 -> 0
11-14 23:29:30 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (21.5736) 0 -> 0
11-14 23:32:30 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (22.7716) 0 -> 0
11-14 23:35:15 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Fog:: (23.8718) 0
11-14 23:35:30 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (23.9695) 0 -> 0
11-14 23:38:29 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (1.16751) 0 -> 0
11-14 23:41:13 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast:: (2.259) overcast: 0.0029664
11-14 23:41:13 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast::Rain:: (2.259) 0
11-14 23:41:29 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (2.36548) 0 -> 0
11-14 23:44:29 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (3.56344) 0 -> 0
11-14 23:47:28 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (4.76141) 0 -> 0
11-14 23:50:28 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (5.55599) 0 -> 0
11-14 23:53:28 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain:: (5.85548) 0
11-14 23:57:14 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain:: (6.23275) 0
11-14 23:58:52 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain:: (6.39616) 0.0635151
11-15 00:00:02 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain:: (6.51287) 0.251253
11-15 00:01:57 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain:: (6.70463) 0.13467
11-15 00:02:24 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast:: (6.74944) overcast: 0.641649
11-15 00:02:24 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast::Rain:: (6.74944) 0.177539
11-15 00:03:23 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (6.84802) 0.272054 -> 0
11-15 00:05:43 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Fog:: (7.08091) 0
11-15 00:06:23 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (7.14751) 0 -> 0
11-15 00:09:23 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (7.447) 0 -> 0
11-15 00:12:22 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (7.74649) 0 -> 0
11-15 00:15:22 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (8.04599) 0 -> 0
11-15 00:18:22 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (8.34548) 0 -> 0
11-15 00:21:22 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (8.64497) 0 -> 0
11-15 00:24:21 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (8.94446) 0 -> 0
11-15 00:27:21 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (9.24395) 0 -> 0
11-15 00:28:11 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast:: (9.327) overcast: 0.0936338
11-15 00:28:11 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Overcast::Rain:: (9.327) 0
11-15 00:30:21 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (9.54344) 0 -> 0
11-15 00:33:20 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Rain::ForceEnd:: (9.84294) 0 -> 0
11-15 00:36:11 | Server | Debug | n/a | n/a | n/a | Deerisle::Weather::Fog:: (10.1277) 0
